2013020680, COL, v
2013020680, MIN, h
2013020681, ANA, v
2013020681, PHX, h
2013020682, PIT, v
2013020682, CGY, h
2013020683, DET, v
2013020683, LAK, h
2013020684, BOS, v
2013020684, SJS, h
2013020685, BUF, v
2013020685, WSH, h
2013020686, NYI, v
2013020686, DAL, h
2013020687, NJD, v
2013020687, TOR, h
2013020688, PHI, v
2013020688, NYR, h
2013020689, EDM, v
2013020689, CHI, h
2013020690, MIN, v
2013020690, NSH, h
2013020691, DET, v
2013020691, ANA, h
2013020692, CGY, v
2013020692, CAR, h
2013020693, TBL, v
2013020693, CBJ, h
2013020694, PHX, v
2013020694, WPG, h
2013020695, VAN, v
2013020695, LAK, h
2013020696, TOR, v
2013020696, BOS, h
2013020697, TBL, v
2013020697, NYR, h
2013020698, SJS, v
2013020698, WSH, h
2013020699, PHI, v
2013020699, BUF, h
2013020700, NJD, v
2013020700, MTL, h
2013020701, NYI, v
2013020701, FLA, h
2013020702, COL, v
2013020702, CHI, h
2013020703, PHX, v
2013020703, STL, h
2013020704, CGY, v
2013020704, NSH, h
2013020705, OTT, v
2013020705, MIN, h
2013020706, EDM, v
2013020706, DAL, h
2013020707, BUF, v
2013020707, TOR, h
2013020708, WSH, v
2013020708, PIT, h
2013020709, VAN, v
2013020709, ANA, h
2013020710, DET, v
2013020710, NYR, h
2013020711, NSH, v
2013020711, PHI, h
2013020712, MTL, v
2013020712, OTT, h
2013020713, NYI, v
2013020713, TBL, h
2013020714, SJS, v
2013020714, FLA, h
2013020715, LAK, v
2013020715, STL, h
2013020716, EDM, v
2013020716, MIN, h
2013020717, BOS, v
2013020717, DAL, h
2013020718, NJD, v
2013020718, COL, h
2013020719, WPG, v
2013020719, CGY, h
2013020720, VAN, v
2013020720, PHX, h
2013020721, WSH, v
2013020721, CBJ, h
2013020722, ANA, v
2013020722, CHI, h
2013020723, NYR, v
2013020723, OTT, h
2013020724, SJS, v
2013020724, TBL, h
2013020725, EDM, v
2013020725, WPG, h
2013020726, CBJ, v
2013020726, BUF, h
2013020727, MTL, v
2013020727, TOR, h
2013020728, LAK, v
2013020728, DET, h
2013020729, NYI, v
2013020729, PHI, h
2013020730, FLA, v
2013020730, CAR, h
2013020731, ANA, v
2013020731, STL, h
2013020732, COL, v
2013020732, NSH, h
2013020733, NJD, v
2013020733, PHX, h
2013020734, DAL, v
2013020734, MIN, h
2013020735, CGY, v
2013020735, VAN, h
2013020736, BOS, v
2013020736, CHI, h
2013020737, TBL, v
2013020737, CAR, h
2013020738, WSH, v
2013020738, NYR, h
2013020739, PHI, v
2013020739, NYI, h
2013020740, LAK, v
2013020740, BOS, h
2013020741, FLA, v
2013020741, PIT, h
2013020742, STL, v
2013020742, DET, h
2013020743, DAL, v
2013020743, NSH, h
2013020744, TOR, v
2013020744, PHX, h
2013020745, CGY, v
2013020745, SJS, h
2013020746, FLA, v
2013020746, BUF, h
2013020747, STL, v
2013020747, NJD, h
2013020748, NYI, v
2013020748, NYR, h
2013020749, CAR, v
2013020749, PHI, h
2013020750, OTT, v
2013020750, WSH, h
2013020751, LAK, v
2013020751, CBJ, h
2013020752, MIN, v
2013020752, DAL, h
2013020753, TOR, v
2013020753, COL, h
2013020754, VAN, v
2013020754, EDM, h
2013020755, WPG, v
2013020755, ANA, h
2013020756, MTL, v
2013020756, PIT, h
2013020757, CHI, v
2013020757, DET, h
2013020758, PHX, v
2013020758, CGY, h
2013020759, CAR, v
2013020759, BUF, h
2013020760, STL, v
2013020760, NYR, h
2013020761, PHI, v
2013020761, CBJ, h
2013020762, OTT, v
2013020762, TBL, h
2013020763, PIT, v
2013020763, NYI, h
2013020764, CHI, v
2013020764, MIN, h
2013020765, TOR, v
2013020765, DAL, h
2013020766, NSH, v
2013020766, VAN, h
2013020767, LAK, v
2013020767, ANA, h
2013020768, WPG, v
2013020768, SJS, h
2013020769, WSH, v
2013020769, NJD, h
2013020770, OTT, v
2013020770, CAR, h
2013020771, MTL, v
2013020771, DET, h
2013020772, COL, v
2013020772, FLA, h
2013020773, NSH, v
2013020773, CGY, h
2013020774, PHX, v
2013020774, EDM, h
2013020775, STL, v
2013020775, NYI, h
2013020776, BOS, v
2013020776, PHI, h
2013020777, WSH, v
2013020777, MTL, h
2013020778, COL, v
2013020778, TBL, h
2013020779, BUF, v
2013020779, CBJ, h
2013020780, TOR, v
2013020780, WPG, h
2013020781, PIT, v
2013020781, DAL, h
2013020782, ANA, v
2013020782, LAK, h
2013020783, MIN, v
2013020783, SJS, h
2013020784, NYR, v
2013020784, NJD, h
2013020785, FLA, v
2013020785, DET, h
2013020786, WPG, v
2013020786, CHI, h
2013020787, NSH, v
2013020787, EDM, h
2013020788, PHX, v
2013020788, VAN, h
2013020789, BOS, v
2013020789, NYI, h
2013020790, CBJ, v
2013020790, CAR, h
2013020791, BUF, v
2013020791, PIT, h
2013020792, COL, v
2013020792, DAL, h
2013020793, EDM, v
2013020793, VAN, h
2013020794, LAK, v
2013020794, SJS, h
2013020795, FLA, v
2013020795, BOS, h
2013020796, TBL, v
2013020796, TOR, h
2013020797, DET, v
2013020797, PHI, h
2013020798, OTT, v
2013020798, CBJ, h
2013020799, WSH, v
2013020799, BUF, h
2013020800, CAR, v
2013020800, MTL, h
2013020801, NJD, v
2013020801, STL, h
2013020802, NSH, v
2013020802, WPG, h
2013020803, LAK, v
2013020803, PHX, h
2013020804, CHI, v
2013020804, CGY, h
2013020805, MIN, v
2013020805, ANA, h
2013020806, NYR, v
2013020806, NYI, h
2013020807, SJS, v
2013020807, EDM, h
2013020808, CHI, v
2013020808, VAN, h
2013020809, MTL, v
2013020809, BOS, h
2013020810, FLA, v
2013020810, TOR, h
2013020811, WSH, v
2013020811, CBJ, h
2013020812, TBL, v
2013020812, OTT, h
2013020813, NJD, v
2013020813, DAL, h
2013020814, MIN, v
2013020814, COL, h
2013020815, SJS, v
2013020815, CGY, h
